V1,V2
Y,69030
X,69762
Y,69254
Y,69972
X,70210
Y,69614
Y,69534
Y,68822
Y,69146
Y,69542
X,68718
X,69126
X,68586
X,69402
X,69840
Y,69168
X,69074
Y,69912
X,69508
X,69696
Y,70162
Y,69154
X,69910
X,69600
X,69738
Y,69554
Y,69658
X,69654
X,69716
Y,69414
Y,69450
X,69242
Y,69872
X,69968
X,69994
Y,69376
Y,69516
X,68742
Y,69640
Y,70036
X,69436
X,69370
Y,68372
Y,68672
Y,69872
X,69344
Y,69614
X,68762
X,69412
Y,68392
Y,69688
X,69364
X,69486
Y,69968
Y,70586
Y,70420
X,69434
Y,69908
Y,69296
X,69694
Y,70424
X,68810
X,69568
Y,69158
X,69594
Y,69012
Y,69860
X,69756
Y,70560
X,69652
Y,69470
X,69190
X,69652
Y,69076
X,70962
X,70216
X,68816
X,68798
Y,70028
Y,69684
Y,68834
Y,68994
Y,69604
Y,69422
Y,69976
Y,70612
Y,69448
X,70224
X,69244
X,70374
X,69890
Y,68944
X,69088
Y,69508
X,70734
X,69196
X,69478
Y,68796
X,69396
Y,69396
Y,69114
X,69690
X,68488
X,69624
X,69380
Y,70188
X,69484
X,69348
Y,69760
Y,69770
Y,69000
X,69152
X,69400
Y,68670
X,69916
X,68694
Y,68610
X,70882
X,69692
Y,69988
Y,69456
Y,68668
X,69272
X,69526
Y,69492
X,69726
X,70018
Y,69120
X,69836
X,69478
X,69982
X,70300
X,70078
X,69650
X,69260
X,70028
X,70188
Y,69304
X,69258
X,70176
X,70308
X,69664
X,69676
Y,69140
Y,69510
X,69112
X,69674
X,69736
Y,69850
X,70422
X,70190
X,70156
Y,69576
Y,69286
Y,69086
Y,69214
Y,69732
X,69220
Y,69982
X,69216
Y,69236
Y,70278
X,69456
Y,68700
X,69334
X,69690
Y,69046
Y,69604
X,69486
Y,69590
Y,70130
Y,69730
X,69476
Y,69552
Y,70092
X,69462
Y,69272
Y,68846
Y,69500
X,69454
X,69272
Y,70332
Y,69184
Y,69818
X,69736
Y,69136
Y,69022
X,69298
Y,80830
X,73614
Y,71002
Y,69708
X,69192
Y,68788
X,69756
X,69150
X,69380
Y,68812
Y,69172
Y,69636
Y,69260
X,68468
X,68914
Y,68824
X,69260
X,69142
X,70300
Y,70158
X,69046
Y,68622
X,69734
X,68954
Y,69788
X,69704
Y,70098
X,69828
Y,69378
X,68568
X,69638
Y,68420
X,69448
X,69110
Y,69784
X,70004
Y,69446
X,69352
Y,70634
X,69384
X,69718
X,68832
Y,69250
Y,68986
X,69374
X,69590
X,68906
X,68874
Y,69570
Y,69212
X,69332
X,68460
X,69302
Y,70046
X,68998
X,68174
Y,69242
X,70254
X,69424
Y,69864
X,69344
Y,69128
X,68394
Y,68352
X,69820
X,68904
X,69540
X,70848
X,70144
Y,70356
X,69364
X,68842
Y,68948
X,69178
X,69516
Y,69010
X,69994
Y,68998
X,69066
Y,69602
Y,68360
Y,69080
X,69198
X,69256
Y,69862
Y,69554
Y,69308
X,69352
X,69286
Y,70244
X,69940
Y,69572
Y,69290
X,68604
Y,69260
Y,69214
X,70306
X,68890
X,68954
Y,69444
Y,69028
Y,68620
X,69128
X,68854
Y,70040
X,68770
X,68812
Y,69728
Y,69170
Y,69550
Y,68986
X,69226
Y,69658
X,69128
Y,69608
X,68552
Y,69462
Y,69264
Y,69522
X,69340
X,69520
Y,70228
Y,69248
Y,69566
Y,70002
X,69104
X,69360
X,69034
Y,68440
Y,69452
Y,68862
X,69382
X,69970
X,69682
X,68628
X,69850
Y,69558
Y,69230
X,69386
Y,68710
X,68782
X,69924
X,68760
Y,68938
Y,68966
X,69522
Y,69840
X,69748
Y,68758
X,69244
Y,68460
Y,69532
X,69914
X,70168
Y,69360
X,69770
Y,69004
Y,69346
X,69228
X,68530
X,70132
Y,68382
X,69332
X,69002
Y,68752
Y,69578
X,69264
X,69226
X,69576
X,69202
X,70840
Y,69894
Y,69218
Y,70150
Y,68938
X,69258
X,69672
X,69366
X,69236
X,69138
Y,68972
Y,69242
X,68842
X,69562
X,69116
X,69646
X,69140
X,69858
Y,69456
Y,69682
X,68720
X,69540
X,69192
Y,69172
X,87026
Y,71152
X,70154
X,68634
Y,69036
X,68996
X,69600
X,69178
X,68968
X,69874
X,69688
Y,69736
X,70076
X,69534
Y,69448
Y,70116
X,69916
Y,68372
Y,69454
Y,68616
Y,69084
X,69376
X,69698
X,69566
Y,69380
X,69916
X,69108
X,69588
Y,68822
X,68626
Y,68434
X,68936
X,69386
X,69932
Y,69506
Y,69016
Y,69838
Y,69000
Y,69842
X,69442
Y,69520
X,68876
Y,69526
Y,69392
X,68890
Y,69840
X,69802
X,68416
X,68548
Y,68892
X,69688
Y,69296
Y,69956
X,70282
X,68546
Y,69600
X,69784
X,69892
Y,69430
X,68656
Y,68934
X,69148
X,69844
Y,68886
Y,69278
Y,69222
X,68924
Y,69820
Y,69490
Y,69742
Y,69078
X,69784
X,69734
X,69630
X,69008
X,68722
Y,69154
Y,69652
X,69528
X,68622
Y,69290
X,69020
Y,69830
X,68744
X,68368
Y,69068
X,69322
X,69974
Y,69920
Y,69702
X,68404
X,69598
X,69654
X,69978
Y,68126
X,69196
Y,69198
Y,69292
X,69270
X,69136
Y,68126
X,68616
X,69454
X,69272
X,68622
Y,69616
X,69092
X,69348
Y,69116
Y,69210
X,69678
X,69218
Y,70128
X,69438
X,69512
X,68634
X,69594
X,69262
Y,69148
X,69890
Y,69874
Y,69512
X,69326
X,68870
Y,68436
X,69102
X,69120
Y,69154
X,69786
Y,70036
X,69500
X,68674
X,69418
Y,68816
Y,69624
Y,68822
X,68422
X,68650
Y,69040
X,68962
X,68632
X,69160
Y,68896
Y,68640
X,68928
Y,69030
Y,71030
Y,69550
X,70516
X,69258
Y,69616
X,70550
X,69856
Y,70140
X,69720
Y,68738
Y,69238
X,68894
Y,70064
X,69178
Y,69244
Y,69900
X,70432
X,70828
Y,69324
X,68578
Y,69642
X,70282
X,69686
X,68812
X,69378
X,69538
X,69954
Y,69432
X,70322
X,69560
Y,69422
X,68900
Y,69572
Y,69682
X,69446
X,69604
Y,69404
Y,69528
Y,69850
Y,69736
Y,69866
X,68860
X,69094
X,68964
Y,69050
X,69570
Y,69444
Y,82430
X,72130
Y,68680
Y,69718
X,68742
X,68746
X,68950
X,68862
Y,68748
Y,68874
Y,69544
X,69698
X,69636
X,69328
X,69478
X,68670
Y,68954
Y,69256
X,69066
Y,69474
Y,70160
Y,70120
Y,70314
X,68898
X,69572
X,69114
X,68924
Y,69712
X,68956
Y,69738
Y,68966
Y,70106
X,70082
X,69634
X,69060
X,69446
Y,68842
Y,69652
Y,69084
Y,69400
Y,69442
X,69330
Y,69652
X,69350
X,69080
X,69172
Y,69026
Y,69524
Y,68878
Y,69158
X,68660
Y,69536
X,69588
X,70158
X,70356
Y,69704
Y,70544
Y,69570
X,69536
X,69508
Y,69812
X,69274
Y,69256
Y,69544
X,69102
X,69818
X,68912
X,69148
X,68316
X,70192
Y,68714
X,69840
Y,68754
X,69362
Y,69302
Y,69228
Y,69194
Y,69134
Y,69236
X,69790
X,68818
Y,69714
X,69138
Y,68920
X,69484
Y,69326
X,70692
X,70214
Y,70556
Y,68796
Y,68014
X,69368
X,68300
Y,69436
Y,69172
Y,68974
X,69280
X,68960
X,69526
Y,69974
X,69176
Y,69708
Y,69138
X,69198
Y,69220
Y,69034
X,69438
Y,69220
X,68760
Y,69690
X,68808
Y,69100
X,69386
X,68768
X,69152
Y,69052
Y,69662
Y,68496
Y,70442
Y,69520
Y,70154
Y,69442
Y,70076
X,68868
X,69548
X,69104
X,69676
X,68366
X,68762
Y,69320
X,69272
X,69090
X,70198
X,68842
Y,69184
Y,69282
Y,69594
Y,68146
X,69392
X,68902
X,69430
X,69516
Y,68982
X,68980
Y,69316
Y,68868
Y,69088
X,69100
Y,69396
Y,69356
X,70340
X,69316
Y,68902
X,69338
X,69700
X,68608
X,68970
X,68954
X,69030
X,69206
Y,69446
Y,69762
X,69182
Y,69310
Y,69466
Y,69124
X,69674
Y,68750
Y,68600
Y,69386
X,69936
Y,68336
Y,70144
X,70166
Y,68816
Y,68940
Y,68626
X,69830
X,68430
Y,69448
Y,69796
Y,68786
X,69504
Y,69664
X,69952
X,69404
X,69098
Y,68966
X,68522
X,70014
Y,68544
Y,68686
Y,69444
Y,81662
Y,73002
Y,69982
Y,69272
X,68570
Y,69088
Y,70024
Y,69718
X,69486
Y,69578
X,68912
Y,68944
Y,69090
X,69710
Y,69622
Y,69126
Y,69814
X,68738
Y,68630
Y,69684
X,69342
Y,70224
X,68824
X,70018
Y,68992
Y,68988
X,69534
X,69424
X,69836
X,69614
X,69012
X,69352
X,69474
X,71190
X,70392
X,68978
Y,69736
Y,69574
Y,69680
Y,69332
X,68970
Y,68830
Y,69654
Y,68600
X,69452
Y,68586
X,70304
Y,68902
X,69532
Y,68692
X,68790
X,68526
X,68170
X,70042
X,69264
X,69944
Y,69548
X,68694
X,68380
Y,69938
Y,68974
X,69516
Y,69164
X,68962
X,69496
X,68798
Y,70202
Y,69504
X,69458
Y,69308
X,69588
Y,68894
Y,68794
Y,69232
Y,69496
X,68900
X,69972
Y,69030
Y,69142
X,69624
X,68756
X,69556
Y,68236
X,69270
Y,69936
Y,70804
X,69748
X,70282
Y,69634
Y,69432
X,69286
Y,68950
X,69256
Y,69732
Y,68690
Y,69164
X,69126
X,69780
X,68972
Y,69318
X,69788
X,69424
X,69090
X,69614
X,69068
Y,69302
X,69022
X,68764
Y,68650
Y,69498
X,69894
Y,69162
X,69146
Y,68768
X,69832
X,69064
Y,69016
X,70034
Y,68848
X,69668
X,69624
X,68480
Y,69294
Y,69586
Y,68886
Y,68726
X,69260
X,69230
X,69666
Y,69470
Y,69620
Y,69442
Y,70410
X,69474
X,68866
X,69470
Y,100280
Y,92624
X,76460
X,70404
Y,70040
Y,70046
Y,70222
Y,69948
X,69942
X,70254
Y,70626
Y,71342
X,71024
X,70486
X,70110
X,70754
X,68900
X,70054
X,70070
X,69742
Y,70566
Y,70144
X,70100
Y,69730
Y,70230
Y,70044
Y,69274
Y,69794
X,69194
Y,69580
Y,69722
X,70946
Y,69700
X,69608
Y,68494
X,69494
X,69920
X,69574
X,70390
Y,69816
Y,69992
X,69856
Y,69610
X,69826
Y,70096
Y,70378
Y,70230
Y,70540
X,69622
Y,70608
X,70364
X,69874
X,69736
Y,70278
Y,69990
Y,70140
X,85860
X,75208
X,70834
Y,70464
X,70240
Y,70700
Y,70648
Y,70536
X,70350
X,69936
Y,69570
Y,69366
Y,70592
X,69666
X,69696
Y,70228
X,69438
X,69752
Y,70074
Y,69568
Y,70106
X,69962
X,69368
Y,71146
X,70330
X,70010
X,70786
X,69748
X,69694
Y,69538
X,70152
X,69894
X,70316
X,69958
Y,70320
X,69816
Y,69676
X,69806
Y,69844
Y,69926
Y,69518
X,69842
X,69956
X,69686
X,70422
Y,70568
X,69128
X,68970
Y,70652
Y,68994
Y,69204
X,69896
Y,69414
X,70198
Y,70122
Y,71720
Y,70640
X,69500
Y,70054
X,69118
X,69370
X,69234
X,69804
X,69682
X,70786
Y,70442
X,69102
X,69326
Y,69672
Y,69702
X,69906
Y,70006
X,69562
Y,69794
Y,70334
Y,70032
X,69918
Y,69314
X,69494
Y,69206
Y,69708
X,69160
X,70200
X,70894
Y,70004
X,70668
X,70296
X,70356
X,70058
Y,69710
X,70788
Y,69438
Y,69374
Y,69814
X,70130
Y,69936
Y,69722
Y,69842
Y,69450
X,69262
X,69456
X,69084
X,69742
X,69908
Y,69572
X,69716
X,70192
Y,69986
Y,69252
X,69830
Y,69410
X,68960
Y,70542
Y,70010
Y,71582
X,71176
X,70384
X,70340
Y,69922
X,70464
Y,69732
Y,69564
X,68856
X,70038
X,70284
Y,69936
X,70392
Y,70330
Y,69904
X,69496
Y,71214
Y,69278
Y,70414
Y,69334
X,69732
Y,70138
X,68796
Y,70376
X,68602
Y,70798
X,71092
X,70176
X,68972
Y,69898
Y,69892
Y,70500
X,69516
X,69970
X,69976
X,71446
X,69666
Y,70166
X,69864
X,70512
X,69864
Y,70546
Y,69418
X,69500
X,69956
X,71356
X,69430
Y,69290
Y,68760
X,69574
X,70660
Y,70048
Y,70058
X,70420
Y,69882
X,70480
Y,69802
X,70102
Y,70180
Y,69936
Y,70866
X,69654
X,70172
Y,69730
Y,70578
X,69662
Y,70016
X,69632
Y,69994
Y,70366
Y,70370
X,69830
X,69328
X,69528
X,70304
Y,70058
Y,70032
X,69676
Y,85728
X,72792
Y,70388
Y,70658
Y,69784
X,70518
Y,69668
X,69530
Y,69562
Y,69716
Y,70270
Y,70022
Y,70414
Y,70734
Y,69830
X,69860
X,70190
X,70424
Y,70140
Y,69916
X,70066
Y,70108
X,70178
